Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
5-January-2023,2525.00,2536.00,2504.25,2513.50,2515.544678160200685164,143907,9677,362004488.00,85740,59.58,31.75,-11.50
4-January-2023,2559.00,2559.60,2514.85,2518.15,2530.522576130830528665,172926,12141,437593147.00,128295,74.19,44.75,-40.85
3-January-2023,2567.70,2573.00,2548.05,2557.00,2558.559680879198377949,136124,13214,348281378.00,87348,64.17,24.95,-10.70
2-January-2023,2556.90,2580.00,2548.20,2575.15,2565.037494559365908414,174612,14042,447886327.00,98899,56.64,31.80,18.25
30-December-2022,2547.00,2576.90,2542.55,2548.20,2560.573073447786239834,77470,7964,198367596.00,18712,24.15,34.35,1.20
29-December-2022,2532.05,2549.00,2526.50,2542.55,2536.476648709843603915,157229,13560,398807687.00,103570,65.87,22.50,10.50
28-December-2022,2535.90,2549.90,2521.25,2544.45,2537.520509101672339795,168925,13441,428650652.00,105693,62.57,28.65,8.55
27-December-2022,2529.00,2548.80,2514.35,2545.05,2534.556939357379745397,184837,18372,468479901.00,91598,49.56,34.45,16.05
26-December-2022,2513.70,2542.05,2493.95,2524.50,2522.321150741230001467,95382,7874,240584036.00,28581,29.96,48.10,10.80
23-December-2022,2564.00,2589.75,2493.00,2501.55,2541.287539842485845539,307147,38425,780548844.00,157324,51.22,96.75,-62.45
22-December-2022,2595.20,2606.65,2565.90,2577.90,2583.664124761025068201,93106,9175,240554632.00,32813,35.24,40.75,-17.30
21-December-2022,2622.00,2633.60,2576.35,2584.40,2602.003754402714523474,77509,8722,201678709.00,27381,35.33,57.25,-37.60
20-December-2022,2593.95,2626.00,2566.60,2621.15,2592.252180514028102681,129098,12996,334654572.00,47647,36.91,59.40,27.20
19-December-2022,2583.95,2603.25,2567.70,2600.00,2583.293000695050354179,67621,6588,174684856.00,19050,28.17,35.55,16.05
16-December-2022,2570.00,2619.00,2558.10,2565.10,2591.142752639962244115,169510,18159,439224608.00,51096,30.14,60.90,-4.90
15-December-2022,2609.50,2614.90,2571.00,2578.75,2586.912954891561203591,95215,7713,246312917.00,51216,53.79,43.90,-30.75
14-December-2022,2631.20,2639.50,2611.00,2614.90,2621.790092339583529633,42452,5302,111300233.00,15669,36.91,28.50,-16.30
13-December-2022,2617.00,2633.20,2606.75,2624.20,2620.798164295548416704,65370,9896,171321576.00,26008,39.79,26.45,7.20
12-December-2022,2590.00,2623.00,2585.00,2612.25,2607.771418375236849036,117691,12262,306911226.00,47056,39.98,38.00,22.25
9-December-2022,2648.90,2660.60,2602.15,2609.10,2628.873822903035434788,155892,15996,409820398.00,81206,52.09,58.45,-39.80
8-December-2022,2665.50,2665.50,2640.05,2649.50,2651.144897631902496391,93535,7925,247974838.00,51778,55.36,25.45,-16.00
7-December-2022,2686.80,2694.35,2643.00,2649.90,2668.939274427576229882,116129,11141,309941249.00,54491,46.92,51.35,-36.90
6-December-2022,2660.00,2697.00,2660.00,2688.25,2684.595153207005193714,197739,14549,530849161.00,95692,48.39,37.00,28.25
5-December-2022,2719.95,2719.95,2678.35,2682.85,2694.095022472663849198,208698,20747,562252243.00,107755,51.63,41.60,-37.10
2-December-2022,2726.25,2747.65,2701.00,2722.65,2724.293389692846475638,114503,9191,311939766.00,33680,29.41,46.65,-3.60
1-December-2022,2736.00,2754.70,2716.00,2722.95,2740.119533634626121188,245387,20390,672389712.00,131369,53.54,38.70,-13.05
30-November-2022,2715.00,2743.60,2699.10,2732.40,2724.009826554869937607,116521,9761,317404349.00,43532,37.36,44.50,17.40
29-November-2022,2704.10,2730.50,2693.40,2711.05,2711.977160228486344440,225659,21081,611982054.00,135214,59.92,37.10,6.95
28-November-2022,2601.35,2721.60,2585.00,2708.05,2688.029405618663122612,358911,23804,964763322.00,191413,53.33,136.60,106.70
25-November-2022,2583.05,2624.15,2581.35,2617.05,2605.353288984200621471,228490,20395,595297173.00,143293,62.71,42.80,34.00
24-November-2022,2566.00,2592.00,2548.35,2582.55,2563.652920622036565930,101023,7808,258987909.00,55446,54.88,43.65,16.55
23-November-2022,2579.00,2579.00,2552.15,2556.45,2560.826056225753308178,188170,8879,481870639.00,149423,79.41,26.85,-22.55
22-November-2022,2544.25,2568.00,2536.90,2564.30,2558.801234726943010315,201826,7845,516432618.00,142326,70.52,31.10,20.05
21-November-2022,2585.00,2589.30,2543.00,2550.05,2555.204759529610374661,104254,7858,266390317.00,60507,58.04,46.30,-34.95
18-November-2022,2606.00,2608.85,2572.00,2597.55,2588.569764664152363854,138143,11998,357592793.00,60174,43.56,36.85,-8.45
17-November-2022,2586.00,2613.00,2581.35,2601.30,2599.923625725839329197,181514,9381,471922537.00,131293,72.33,31.65,15.30
16-November-2022,2604.00,2615.05,2581.20,2591.85,2602.095846425934511238,116478,8062,303086920.00,58050,49.84,33.85,-12.15
15-November-2022,2618.05,2627.75,2590.05,2606.70,2612.900564644491807580,403971,10322,1055536054.00,336942,83.41,37.70,-11.35
14-November-2022,2625.00,2642.65,2605.55,2617.95,2631.228823050627414884,4751003,8727,12500976032.00,4691237,98.74,37.10,-7.05
11-November-2022,2598.70,2635.00,2587.25,2631.35,2613.913256716017621320,402694,27518,1052607185.00,251036,62.34,47.75,32.65
10-November-2022,2585.00,2596.95,2563.00,2574.45,2577.477367266125640716,240161,13328,619009542.00,194627,81.04,33.95,-10.55
9-November-2022,2606.00,2621.50,2591.35,2603.00,2612.211523100172711571,185280,9617,483990551.00,109764,59.24,30.15,-3.00
7-November-2022,2592.00,2609.90,2574.00,2606.15,2595.522996354308921849,168418,10357,437132792.00,75181,44.64,35.90,14.15
4-November-2022,2548.00,2595.25,2548.00,2592.45,2580.935632207243787558,295536,21773,762759393.00,208040,70.39,47.25,44.45
3-November-2022,2526.15,2560.00,2526.15,2555.95,2546.924638075235344859,213304,11281,543269213.00,140587,65.91,33.85,29.80
2-November-2022,2528.35,2550.25,2514.25,2545.40,2533.308345262311961626,119457,9725,302621415.00,63304,52.99,36.00,17.05
1-November-2022,2582.00,2588.45,2508.00,2529.75,2540.286373199961094075,195343,12671,496227161.00,75171,38.48,80.45,-52.25
31-October-2022,2535.00,2560.50,2533.10,2549.55,2551.109720784635821533,238633,13902,608778966.00,112658,47.21,27.40,14.55
28-October-2022,2463.05,2534.00,2460.20,2526.00,2508.286310427701983666,250899,15155,629326527.00,92209,36.75,73.80,62.95
27-October-2022,2456.00,2468.00,2433.20,2450.10,2446.098414836432571307,240543,17152,588391851.00,124711,51.85,34.80,-5.90
25-October-2022,2498.00,2498.15,2437.55,2441.85,2478.511554037037784339,2676294,11760,6633225601.00,2614746,97.70,60.60,-56.15
24-October-2022,2464.50,2501.00,2458.35,2479.70,2482.753280548777366346,117206,16896,290993581.00,63877,54.50,42.65,15.20
21-October-2022,2507.00,2516.50,2467.00,2471.95,2490.889255468838762115,228842,16869,570020079.00,73341,32.05,49.50,-35.05
20-October-2022,2478.05,2519.00,2478.05,2500.90,2504.065137283102385734,268387,15326,672058530.00,152727,56.91,40.95,22.85
19-October-2022,2452.15,2527.00,2441.90,2496.50,2499.191753289473684210,304000,16998,759754293.00,87086,28.65,85.10,44.35
18-October-2022,2420.00,2463.00,2420.00,2450.55,2451.134655638573131377,275176,19597,674493430.00,147796,53.71,43.00,30.55
17-October-2022,2354.70,2413.75,2343.60,2410.00,2389.790759240919332455,312009,20747,745636225.00,134105,42.98,70.15,55.30
14-October-2022,2412.00,2416.05,2368.35,2371.00,2396.239266193674816135,169418,14521,405966064.00,68900,40.67,47.70,-41.00
13-October-2022,2375.80,2394.20,2361.00,2383.85,2379.283695300561077089,89649,7983,213300404.00,39908,44.52,33.20,8.05
12-October-2022,2354.95,2380.80,2345.55,2375.05,2367.914304347826086956,92000,8254,217848116.00,29589,32.16,35.25,20.10
11-October-2022,2411.25,2412.00,2351.00,2357.25,2405.042714473942220116,3962521,10278,9530032262.00,3899287,98.40,61.00,-54.00
10-October-2022,2409.05,2417.70,2388.00,2405.75,2401.631189490732409573,138925,15187,333646613.00,51122,36.80,29.70,-3.30
7-October-2022,2418.00,2443.90,2413.85,2433.25,2432.162961742511615645,151735,12655,369044247.00,65180,42.96,30.05,15.25
6-October-2022,2436.00,2450.00,2418.40,2422.65,2434.045213912313082304,90481,9000,220234845.00,35116,38.81,31.60,-13.35
4-October-2022,2398.45,2417.90,2390.35,2413.05,2404.738090180554214540,155355,10765,373588086.00,70379,45.30,27.55,14.60
3-October-2022,2397.00,2416.95,2363.50,2374.30,2386.462052070323758286,228998,16312,546495037.00,75361,32.91,53.45,-22.70
30-September-2022,2318.00,2401.15,2315.00,2377.70,2369.513504912685468793,251390,23226,595672000.00,106593,42.40,86.15,59.70
29-September-2022,2358.00,2367.75,2313.55,2325.30,2343.954007602654131524,191249,17781,448278860.00,114972,60.12,54.20,-32.70
28-September-2022,2365.10,2378.40,2327.85,2332.10,2355.540515908862792331,249075,20903,586706254.00,142662,57.28,50.55,-33.00
27-September-2022,2395.00,2425.75,2360.15,2395.40,2393.208169257381335909,420283,27061,1005824709.00,227032,54.02,65.60,0.40
26-September-2022,2404.00,2417.65,2375.50,2377.50,2393.645621243479788298,130939,14925,313421564.00,71301,54.45,42.15,-26.50
23-September-2022,2485.50,2495.05,2435.20,2439.35,2454.656189830508474576,110625,12730,271546341.00,54475,49.24,59.85,-46.15
22-September-2022,2482.90,2502.65,2472.55,2485.90,2488.491826645700645949,88397,10302,219975212.00,35752,40.44,30.10,3.00
21-September-2022,2501.85,2534.00,2495.70,2509.25,2515.894345218216065297,74857,8609,188332303.00,19148,25.58,38.30,7.40
20-September-2022,2525.00,2537.20,2495.85,2502.05,2522.637005876497222311,93423,8957,235672317.00,38510,41.22,41.35,-22.95
19-September-2022,2499.20,2521.90,2481.60,2502.35,2499.561183423885072917,2963131,16024,7406527229.00,2867216,96.76,40.30,3.15
16-September-2022,2549.00,2553.60,2491.25,2499.30,2515.105952465750172139,210585,17578,529643587.00,137146,65.13,62.35,-49.70
15-September-2022,2586.00,2602.30,2557.00,2561.75,2571.263553515599015499,180396,12863,463845660.00,86615,48.01,45.30,-24.25
14-September-2022,2565.00,2609.50,2565.00,2587.80,2594.669879667920773607,257288,21499,667577424.00,140256,54.51,44.50,22.80
13-September-2022,2615.00,2628.55,2601.00,2620.15,2619.780892604962901526,223055,14356,584355227.00,115086,51.60,27.55,5.15
12-September-2022,2573.70,2611.40,2572.00,2597.60,2597.655616688687741163,152127,11262,395173556.00,76606,50.36,39.40,23.90
9-September-2022,2606.55,2606.85,2565.00,2568.60,2576.066251401970597812,165838,9087,427209675.00,98140,59.18,41.85,-37.95
8-September-2022,2590.00,2597.00,2571.00,2585.20,2581.174467696800097335,164380,9935,424293459.00,106501,64.79,26.00,-4.80
7-September-2022,2579.70,2594.50,2569.05,2581.15,2583.745078904521354318,191624,9748,495107567.00,115672,60.36,25.45,1.45
6-September-2022,2569.60,2605.50,2569.60,2595.40,2593.222285341134122968,376714,23540,976903140.00,198139,52.60,35.90,25.80
5-September-2022,2530.00,2581.00,2530.00,2570.25,2562.918269150166814760,119294,9765,305740772.00,36870,30.91,51.00,40.25
2-September-2022,2565.00,2574.00,2525.00,2529.80,2547.483434948305646844,266857,18989,679813787.00,159686,59.84,49.00,-35.20
1-September-2022,2589.10,2605.95,2552.00,2560.20,2569.320853488430778280,1149213,42249,2952696926.00,975134,84.85,53.95,-28.90
30-August-2022,2621.70,2645.95,2577.15,2639.10,2612.067451974987638457,297293,16525,776549369.00,89679,30.17,68.80,17.40
29-August-2022,2570.00,2653.30,2570.00,2596.80,2616.668684520574572660,504166,29047,1319235384.00,166898,33.10,83.30,26.80
26-August-2022,2638.00,2647.90,2608.00,2618.75,2621.196279340948843637,185236,20405,485539914.00,103874,56.08,39.90,-19.25
25-August-2022,2651.00,2662.30,2622.00,2630.50,2647.660726034512610376,86635,9096,229380087.00,27183,31.38,40.30,-20.50
24-August-2022,2637.40,2668.50,2636.00,2639.05,2650.460872516269846551,150278,13665,398305959.00,56068,37.31,32.50,1.65
23-August-2022,2586.00,2652.00,2586.00,2647.50,2626.374168089210100427,225535,18965,592339298.00,110252,48.88,66.00,61.50
22-August-2022,2616.00,2630.55,2586.20,2606.70,2603.903243136763310112,167523,13946,436213683.00,91252,54.47,44.35,-9.30
19-August-2022,2654.05,2661.00,2605.30,2613.60,2627.957059770740351315,136003,11870,357410044.00,68049,50.03,55.70,-40.45
18-August-2022,2663.45,2668.50,2640.25,2660.65,2652.570778369204659415,181482,12244,481393850.00,117309,64.64,28.25,-2.80
17-August-2022,2660.55,2677.60,2656.00,2664.45,2666.563259552411305291,114212,9364,304553523.00,50789,44.47,21.60,3.90
16-August-2022,2649.80,2656.60,2627.80,2650.55,2642.644464183912922428,75427,7713,199326744.00,25881,34.31,28.80,0.75
12-August-2022,2586.25,2641.00,2582.10,2632.65,2626.058408033969131225,222555,12790,584442429.00,98779,44.38,58.90,46.40
11-August-2022,2600.00,2615.00,2580.80,2590.20,2592.212551997092201445,99044,7576,256743100.00,49899,50.38,34.20,-9.80
10-August-2022,2572.00,2589.95,2558.00,2581.95,2574.163651823674200044,111725,8256,287598434.00,49034,43.89,31.95,9.95
8-August-2022,2535.00,2583.50,2531.65,2566.80,2569.493965742712720246,187347,15166,481386986.00,86036,45.92,51.85,31.80
5-August-2022,2577.00,2578.00,2527.50,2533.95,2543.158072823092585938,133584,10186,339725228.00,49728,37.23,50.50,-43.05
4-August-2022,2616.00,2617.65,2535.00,2571.40,2569.204317890803753227,190556,12523,489577298.00,48915,25.67,82.65,-44.60
3-August-2022,2597.45,2610.00,2567.55,2605.80,2590.220162893204005241,159491,11981,413116804.00,56419,35.37,42.45,8.35
2-August-2022,2572.80,2606.50,2560.55,2583.10,2583.179390953810591004,283788,22047,733075313.00,140059,49.35,45.95,10.30
1-August-2022,2513.00,2587.00,2507.95,2575.10,2511.620212211246186532,4318904,12703,10847446581.00,4200059,97.25,79.05,62.10
29-July-2022,2470.00,2517.00,2463.50,2508.75,2492.768099170897134761,435531,35226,1085677783.00,259911,59.68,53.50,38.75
28-July-2022,2435.00,2467.00,2421.10,2457.25,2446.979861934959403326,302611,24442,740483023.00,175253,57.91,45.90,22.25
27-July-2022,2419.40,2427.00,2402.00,2419.25,2417.306545348779778400,182221,9982,440484016.00,121386,66.61,25.00,-0.15
26-July-2022,2423.80,2444.05,2412.45,2420.50,2432.818255272056092302,261141,13144,635308592.00,125144,47.92,31.60,-3.30
25-July-2022,2469.00,2469.00,2403.95,2420.15,2422.816880684283560096,465538,26354,1127913325.00,246804,53.01,65.05,-48.85
22-July-2022,2500.00,2516.80,2495.00,2502.90,2505.714657709824662725,394782,21054,989211044.00,224130,56.77,21.80,2.90
21-July-2022,2498.00,2498.65,2468.00,2487.40,2482.829098468012472220,236686,14612,587650888.00,133642,56.46,30.65,-10.60
20-July-2022,2535.00,2545.05,2485.55,2501.40,2505.097399839027007690,536736,33500,1344575958.00,260896,48.61,59.50,-33.60
19-July-2022,2411.00,2447.00,2400.75,2441.20,2433.418642983733950201,354911,15090,863647044.00,182847,51.52,46.25,30.20
18-July-2022,2420.05,2425.00,2393.50,2422.15,2402.101317110373403945,4311256,10615,10356073716.00,4203211,97.49,31.50,2.10
15-July-2022,2420.00,2420.00,2383.60,2401.55,2397.233238088909562097,105343,8334,252531741.00,28741,27.28,36.40,-18.45
14-July-2022,2389.70,2434.50,2377.50,2396.95,2398.721031108690166738,249673,17689,598895876.00,116464,46.65,57.00,7.25
13-July-2022,2429.00,2433.95,2373.00,2377.30,2397.920255725499716759,185355,13890,444466509.00,95372,51.45,60.95,-51.70
12-July-2022,2411.00,2439.00,2403.90,2420.15,2425.766758435239131826,203047,13638,492544663.00,56116,27.64,35.10,9.15
11-July-2022,2380.00,2428.00,2370.30,2423.20,2391.706924393631108096,805038,28512,1925414959.00,596956,74.15,57.70,43.20
8-July-2022,2414.90,2415.85,2383.00,2391.50,2394.747920507171440133,222410,15097,532615885.00,89687,40.32,32.85,-23.40
7-July-2022,2424.80,2433.90,2375.05,2387.65,2391.638703603018207375,452454,39916,1082106498.00,229597,50.74,58.85,-37.15
6-July-2022,2425.05,2441.15,2387.40,2411.95,2410.121484840422455377,259341,19968,625043316.00,89471,34.50,53.75,-13.10
5-July-2022,2424.95,2464.65,2417.60,2433.20,2443.121168794508538524,435731,29443,1064543630.00,177535,40.74,47.05,8.25
4-July-2022,2388.80,2441.85,2367.00,2413.95,2413.444983148394898610,893090,55047,2155423580.00,325812,36.48,74.85,25.15
1-July-2022,2580.00,2591.65,2365.00,2408.95,2433.035730175856200571,1078836,78025,2624846535.00,378853,35.12,226.65,-171.05
30-June-2022,2576.00,2615.80,2567.30,2594.05,2596.497528137162091090,209154,15613,543067844.00,84855,40.57,48.50,18.05
29-June-2022,2504.35,2596.85,2501.00,2579.05,2560.146452046486468765,305035,28326,780934273.00,112706,36.95,95.85,74.70
28-June-2022,2482.15,2535.00,2482.15,2529.00,2514.641353978211664826,127683,13180,321076952.00,37514,29.38,52.85,46.85
27-June-2022,2549.00,2549.00,2482.00,2491.95,2513.465851833374906460,180405,15735,453441807.00,59909,33.21,67.00,-57.05
24-June-2022,2490.00,2510.95,2468.25,2500.75,2491.739345522429034206,182130,14141,453820487.00,59086,32.44,42.70,10.75
23-June-2022,2520.00,2524.90,2446.00,2464.60,2475.861316223258122263,282095,38558,698428098.00,111461,39.51,78.90,-55.40
22-June-2022,2563.00,2563.00,2501.00,2505.20,2524.267547429716360904,191652,20228,483780924.00,61384,32.03,62.00,-57.80
21-June-2022,2552.40,2592.70,2529.00,2584.55,2562.531386105667911413,135235,12117,346543932.00,21106,15.61,63.70,32.15
20-June-2022,2607.00,2618.10,2521.10,2542.80,2553.351919088972404470,141291,13241,360765646.00,27879,19.73,97.00,-64.20
17-June-2022,2532.00,2624.45,2532.00,2589.30,2592.376796726457917937,259291,19057,672179972.00,58811,22.68,92.45,57.30
16-June-2022,2622.00,2658.60,2554.95,2559.20,2599.766710952861773927,282255,21527,733797153.00,58377,20.68,103.65,-62.80
15-June-2022,2610.00,2637.40,2585.10,2596.30,2613.289824419431570170,163116,11651,426269383.00,33178,20.34,52.30,-13.70
14-June-2022,2653.00,2670.15,2613.85,2627.35,2637.801247189248548867,152984,12611,403541386.00,29338,19.18,56.30,-25.65
13-June-2022,2653.80,2673.30,2616.40,2662.80,2645.712192942327946636,187994,14888,497378018.00,47072,25.04,56.90,9.00
10-June-2022,2774.35,2790.05,2701.60,2714.00,2739.222228076076692698,246751,20034,675905824.00,83966,34.03,88.45,-60.35
9-June-2022,2709.00,2802.00,2709.00,2798.60,2767.891892526656958992,298046,19174,824959107.00,139431,46.78,93.00,89.60
8-June-2022,2775.20,2782.10,2715.60,2724.30,2740.361491799595596495,186942,11639,512288658.00,70763,37.85,66.50,-50.90
7-June-2022,2764.00,2791.00,2754.00,2772.50,2773.105755753492788352,154819,10501,429329460.00,24738,15.98,37.00,8.50
6-June-2022,2780.60,2813.75,2751.55,2766.90,2776.821657182854428015,275733,18674,765661366.00,86101,31.23,62.20,-13.70
3-June-2022,2746.95,2816.35,2740.00,2779.50,2796.373976359278653301,636698,42914,1780445718.00,301515,47.36,76.35,32.55
2-June-2022,2645.00,2732.00,2635.65,2724.50,2707.461869466886378950,299786,20363,811659164.00,131636,43.91,96.35,79.50
1-June-2022,2632.35,2654.95,2616.10,2632.20,2637.588031099652869409,147783,11931,389790672.00,48704,32.96,38.85,-0.15
31-May-2022,2646.00,2678.75,2615.85,2633.90,2642.160322937073365825,590084,19983,1559096532.00,420270,71.22,62.90,-12.10
30-May-2022,2619.80,2673.00,2594.85,2663.75,2642.017257731645876961,263592,21125,696414613.00,146456,55.56,78.15,43.95
27-May-2022,2596.95,2605.55,2539.35,2575.20,2572.888646934566965876,199303,16761,512784426.00,65623,32.93,66.20,-21.75
26-May-2022,2618.00,2633.90,2547.70,2587.45,2588.918276786539706018,183889,15579,476073593.00,33138,18.02,86.20,-30.55
25-May-2022,2632.35,2655.80,2601.85,2611.15,2626.189392412208200620,248030,20206,651373755.00,108049,43.56,53.95,-21.20
24-May-2022,2624.00,2637.80,2598.00,2616.00,2621.289250836346433278,147965,13473,387859064.00,47949,32.41,39.80,-8.00
23-May-2022,2630.00,2653.75,2592.95,2605.95,2616.738810688854878460,278346,18465,728358781.00,88833,31.91,60.80,-24.05
20-May-2022,2515.00,2643.00,2503.00,2622.15,2576.949925506931643140,277207,21461,714348558.00,95269,34.37,140.00,107.15
19-May-2022,2470.00,2511.00,2466.45,2479.20,2490.200903578908074844,728658,25314,1814504810.00,596247,81.83,44.55,9.20
18-May-2022,2539.00,2570.00,2508.30,2538.80,2535.700588824267222838,276653,21897,701509175.00,74202,26.82,61.70,-0.20
17-May-2022,2443.00,2540.40,2435.00,2530.70,2498.048500779683671196,336675,31564,841030479.00,146058,43.38,105.40,87.70
16-May-2022,2432.00,2480.75,2416.45,2427.40,2447.590738435108241402,207222,21011,507194648.00,65528,31.62,64.30,-4.60
13-May-2022,2432.00,2478.00,2416.05,2428.05,2450.793087168530420249,290185,25989,711183392.00,79212,27.30,61.95,-3.95
12-May-2022,2419.00,2440.00,2370.00,2400.95,2399.472965748013693346,375949,39075,902079462.00,191869,51.04,70.00,-18.05
11-May-2022,2478.70,2485.05,2421.90,2449.75,2457.071583602477110432,269992,20980,663389671.00,115015,42.60,63.15,-28.95
10-May-2022,2499.00,2525.25,2459.00,2473.25,2496.905245043088348630,228368,18058,570213257.00,69367,30.38,66.25,-25.75
9-May-2022,2575.00,2597.20,2507.10,2517.15,2542.155895145591694379,394528,40031,1002951681.00,167673,42.50,90.10,-57.85
6-May-2022,2640.75,2659.55,2594.60,2621.15,2621.877340733977285469,249708,21561,654703747.00,75161,30.10,64.95,-19.60
